Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Sidewalk Dimensions (Area),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,Landmark District or Building,landmarkDistrict_terms,Latitude,Longitude,NTA
both,THE HOPTIMIST,LOCH MORLICH LLC,THE HOPTIMIST,undefined,422 AMSTERDAM AVENUE,Manhattan,10024,"422 AMSTERDAM AVENUE, Manhattan, NY",96,96,yes,yes,yes,yes,yes,40.784028,-73.977695,Upper West Side
sidewalk,alnour food,alnour food,alnour food,4108 30th,41 streetv,Queens,11103,"4108 30th 41 streetv, Queens, NY",361,,yes,no,no,yes,yes,,,
both,Lima Restaurant,Lima Restaurant Corp.,Lima Restaurant Corp.,8507,Northern Blvd,Queens,11372,"8507 Northern Blvd, Queens, NY",450,240,yes,yes,yes,no,,40.75588,-73.882403,Jackson Heights
both,MAMA PHO,BEDFORD MP INC,Bedford Food Hall,undefined,172 BEDFORD AVENUE,Brooklyn,11249,"172 BEDFORD AVENUE, Brooklyn, NY",154,176,yes,yes,no,no,,40.718115,-73.95744,North Side-South Side
openstreets,Amity Hall Uptown,Amity Hall Uptown Inc,Amity Hall Uptown,982,Amsterdam Ave,Manhattan,10025,"982 Amsterdam Ave, Manhattan, NY",,,no,no,yes,no,,40.80203,-73.964563,Morningside Heights
sidewalk,Sofia's taqueria,Sofia's taqueria llc,Sofia's taqueria llc,977,Bay Street,Staten Island,10305,"977 Bay Street , Staten Island, NY",100,,yes,no,yes,no,,40.6187,-74.069513,Stapleton-Rosebank
roadway,HoM,"HoM Imports, Inc.",HoM,8810,3rd Avenue,Brooklyn,11209,"8810 3rd Avenue, Brooklyn, NY",,48,no,yes,yes,no,,40.621901,-74.03171,Bay Ridge
both,LUNA'S FOOD CORP,LUNA'S FOOD CORP,LUNA'S FOOD CORP,7702,ROOSEVELT AVE,Queens,11372,"7702 ROOSEVELT AVE, Queens, NY",54,72,yes,yes,yes,no,,40.747142,-73.888529,Elmhurst
both,FLAVA II LOUNGE,8920 AVENUE D INC,FLAVA II LOUNGE,undefined,8920 AVENUE D,Brooklyn,11236,"8920 AVENUE D, Brooklyn, NY",240,160,yes,yes,yes,no,,40.645905,-73.912787,Canarsie
both,40KNOTS,MIKNIC LLC,40KNOTS,200,COLUMBIA STREET,Brooklyn,11231,"200 COLUMBIA STREET, Brooklyn, NY",144,128,yes,yes,yes,no,,40.685268,-74.002596,Carroll Gardens-Columbia Street-Red Hook
both,Luna cafe,Luna cafe inc,Luna cafe inc,601,East 187th authur ave,Bronx,10458,"601  East 187th authur ave , Bronx, NY",64,64,yes,yes,no,no,,,,
roadway,Melt Shop,"MS w26, llc",Melt Shop,55,w 26th street,Manhattan,10010,"55 w 26th street, Manhattan, NY",,160,no,yes,yes,no,,40.744321,-73.990249,Hudson Yards-Chelsea-Flatiron-Union Square
both,Luna cafe,Luna cafe inc,Luna cafe inc,601,East 187th,Bronx,10458,"601  East 187th, Bronx, NY",64,64,yes,yes,no,no,,,,
both,MIMI JAPANESE RESTAURANT,"T.A.C. NEW YORK, INC.",TAKEDA,undefined,566 AMSTERDAM AVENUE,Manhattan,10024,"566 AMSTERDAM AVENUE, Manhattan, NY",121,88,yes,yes,yes,no,,40.788622,-73.974342,Upper West Side
sidewalk,Spice,Spice Corner 236 INC.,Spice,1479,1st Ave,Manhattan,10075,"1479  1st Ave, Manhattan, NY",240,,yes,no,yes,no,,40.771123,-73.95359,Lenox Hill-Roosevelt Island
both,Antonucci Cafe,"Virgilia Cafe, Inc",Antonucci Cafe,168-70,E 81st St,Manhattan,10028,"168-70 E 81st St, Manhattan, NY",300,160,yes,yes,yes,no,,40.775911,-73.957092,Upper East Side-Carnegie Hill
both,Barzola,Barzola's Restaurant III Inc.,Barzola,9212,37th Ave,Queens,11372,"9212 37th Ave, Queens, NY",1200,600,yes,yes,yes,no,,40.750742,-73.874793,Jackson Heights
sidewalk,Everest Fodds Inc,Everest Foods Inc,Bukhara Grill,217,E 49th Street,Manhattan,10017,"217 E 49th Street, Manhattan, NY",400,,yes,no,yes,no,,40.754951,-73.970623,Turtle Bay-East Midtown
both,Bluestone Lane,BL 2 RIVER NY LLC,Bluestone Lane,undefined,2 RIVER TERRACE,Manhattan,10282,"2 RIVER TERRACE, Manhattan, NY",128,128,yes,yes,no,no,,40.715534,-74.016651,Battery Park City-Lower Manhattan
sidewalk,Savann Mediterranean,GJF Cafe Associates LLC,Savann,2280,Frederick Douglass Blvd,Manhattan,10027,"2280 Frederick Douglass Blvd, Manhattan, NY",306,,yes,no,yes,no,,40.808511,-73.952371,Central Harlem South
both,THE AINSWORTH,"AINSPH, LLC",THE AINSWORTH,undefined,64 3 AVENUE,Manhattan,10003,"64 3 AVENUE, Manhattan, NY",623,816,yes,yes,yes,no,,40.731237,-73.988688,East Village
roadway,212 E Hisae,Tsampa Inc.,212 Hisae's,212 E,9th st,Manhattan,10003,"212 E 9th st, Manhattan, NY",,144,no,yes,yes,no,,40.729801,-73.988696,East Village
both,Kismat Indian Restaurant,Kismat Indian Restaurant Inc.,Kismat Indian Restaurant Inc.,603,Fort Washington Ave.,Manhattan,10040,"603 Fort Washington Ave., Manhattan, NY",840,480,yes,yes,yes,no,,40.855241,-73.936852,Washington Heights North
sidewalk,AUSTIN STREET PIZZA,AUSTIN STREET PIZZA,AUSTIN STREET PIZZA,undefined,7163 AUSTIN ST,Queens,11375,"7163 AUSTIN ST, Queens, NY",224,,yes,no,no,no,,40.719575,-73.843181,Forest Hills
openstreets,pasquale's rigoletto restaurant,P.A.R.T.RESTAURANT CORP,Pasquale's Rigoletto Restaurant,2311,arthur ave,Bronx,10458,"2311 arthur ave, Bronx, NY",,,no,no,yes,no,,40.853819,-73.88908,Belmont
sidewalk,J & J Hot Food & Salad,Lindenview Deli Inc.,Lindenview Deli Inc.,1,4916 Fort Hamilton PKWY,Brooklyn,11219,"1 4916 Fort Hamilton PKWY, Brooklyn, NY",72,,yes,no,no,no,,,,
both,La casa de Julia corp,La casa de julia Corp,La casa de julia Corp,6409,Roosevelt,Queens,11373,"6409 Roosevelt , Queens, NY",300,80,yes,yes,yes,no,,,,
both,Campania coal fired pizza,CAMPANIA OF Totenville inc,CAMPANIA OF Totenville inc,240,PAGE ave,Staten Island,10307,"240 PAGE ave, Staten Island, NY",210,160,yes,yes,yes,no,,40.518129,-74.234494,Charleston-Richmond Valley-Tottenville
sidewalk,GOLD N HONEY,GOLD N HONEY LLC,GOLD N HONEY,undefined,2503 DITMARS BLVD,Queens,11105,"2503 DITMARS BLVD, Queens, NY",135,,yes,no,no,no,,40.778679,-73.914292,Steinway
roadway,chop shop,pinyin kitchen inc,chop shop,254,10th ave,Manhattan,10001,"254 10th ave, Manhattan, NY",,160,no,yes,yes,no,,40.748771,-74.003375,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,Aita Trattoria,Regine Restaurants LLC,Aita Trattoria,798-A,Franklin ave,Brooklyn,11238,"798-A Franklin ave, Brooklyn, NY",75,,yes,no,yes,no,,40.671117,-73.957819,Crown Heights North
roadway,MAMAN,MAMAN NOMAD LLC,MAMAN,undefined,22 WEST   25 STREET,Manhattan,10010,"22 WEST   25 STREET, Manhattan, NY",,224,no,yes,no,no,,40.743366,-73.989964,Hudson Yards-Chelsea-Flatiron-Union Square
both,Namaste Indian Restaurant Inc,Namaste Indian Restaurant Inc,Namaste,258-11,Hillside Avenue,Queens,11004,"258-11 Hillside Avenue, Queens, NY",660,240,yes,yes,yes,no,,40.736998,-73.709927,Glen Oaks-Floral Park-New Hyde Park
both,La pollera coloradaII,Bovicar Inc,Bovicar Inc,82-11,Northern Blvd,Queens,11372,"82-11 Northern Blvd , Queens, NY",144,240,yes,yes,yes,no,,40.755587,-73.885161,Jackson Heights
both,Pascalou,Llbinc,Llbinc,1308,Madison,Manhattan,10128,"1308 Madison, Manhattan, NY",160,128,yes,yes,yes,yes,yes,,,
sidewalk,Katana Kitten,Alfred B Hospitality LLC,Katana Kitten,531,Hudson Street,Manhattan,10014,"531 Hudson Street, Manhattan, NY",273,,yes,no,yes,yes,yes,40.734268,-74.006221,West Village
sidewalk,O'Sullivan's Pub& Grub LTD.,O'Sullivan's Pub7Grub LTD.,NA,89,3 AVE.,Brooklyn,11209,"89 3 AVE., Brooklyn, NY",640,,yes,no,yes,no,,40.68362,-73.981846,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
openstreets,WINEMAK'HER BAR,WINEMAK'HER LLC,WINEMAK'HER LLC,492,5TH AVENUE,Brooklyn,11215,"492 5TH AVENUE, Brooklyn, NY",,,no,no,yes,no,,40.66761,-73.987621,Park Slope-Gowanus
sidewalk,Esperanto,177 Chrystie Inc,Esperanto Restaurant,145,Avenue C,Manhattan,10009,"145 Avenue C, Manhattan, NY",315,,yes,no,yes,no,,40.725381,-73.97792,Lower East Side
sidewalk,La Parisienne,AB hospitality inc,la Parisienne,9,maiden lane,Manhattan,10038,"9  maiden lane, Manhattan, NY",144,,yes,no,yes,no,,40.709606,-74.009555,Battery Park City-Lower Manhattan
sidewalk,GYRO WORLD,GW RIDGEWOOD LLC,GYRO WORLD,66-57,FRESH POND RD,Queens,11385,"66-57 FRESH POND RD, Queens, NY",216,,yes,no,yes,no,,40.707249,-73.897295,Ridgewood
both,BELLA LUNA,B.L.T.G. PIZZA INC,BLTG PIZZA INC DBA BELLA LUNA,undefined,574 COLUMBUS AVENUE,Manhattan,10024,"574 COLUMBUS AVENUE, Manhattan, NY",336,336,yes,yes,yes,no,,40.787652,-73.971334,Upper West Side
sidewalk,UPSTATE STOCK,Aging Young Rebels LLC,UPSTATE STOCK,223,Kent,Brooklyn,11249,"223 Kent , Brooklyn, NY",30,,yes,no,no,no,,,,
both,Ore Bar,Orephans Inc,Ore Bar,277,Graham Avenue,Brooklyn,11211,"277 Graham Avenue, Brooklyn, NY",60,232,yes,yes,yes,no,,40.711975,-73.943975,East Williamsburg
sidewalk,B'KLYN BURRO,"B'KLYN BURRO, LLC","B'KLYN BURRO, LLC",922,FULTON STREET,Brooklyn,11238,"922  FULTON STREET, Brooklyn, NY",96,,yes,no,yes,no,,40.682891,-73.964118,Clinton Hill
both,Bar Goto,Liquid Samuari LLC,Bar Goto,245,Eldridge Street,Manhattan,10002,"245 Eldridge Street, Manhattan, NY",68,136,yes,yes,yes,no,,40.722739,-73.989632,Chinatown
both,EL JOBITO SEAFOOD RESTAURANT CORP,EL JOBITO SEAFOOD RESTAURANT CORP,EL JOBITO SEAFOOD RESTAURANT CORP,1579,ST NICHOLAS AVENUE,Manhattan,10040,"1579 ST NICHOLAS AVENUE, Manhattan, NY",1044,696,yes,yes,yes,no,,40.854221,-73.930158,Washington Heights North
roadway,Diamond Lil,South of Heaven LLC,Diamond Lil,179,Nassau Ave,Brooklyn,11222,"179 Nassau Ave, Brooklyn, NY",,128,no,yes,yes,no,,40.725351,-73.946045,Greenpoint
both,TAMAM,VEG ON LEX LLC,TAMAM,undefined,1108 LEXINGTON AVENUE,Manhattan,10075,"1108 LEXINGTON AVENUE, Manhattan, NY",80,160,yes,yes,no,no,,40.773939,-73.959653,Upper East Side-Carnegie Hill
both,OBICA MOZZARELLA BAR,OBIKA NY MADISON LLC,OBICA MOZZARELLA BAR,undefined,928 BROADWAY,Manhattan,10010,"928 BROADWAY, Manhattan, NY",272,272,yes,yes,yes,yes,yes,40.740166,-73.989492,Hudson Yards-Chelsea-Flatiron-Union Square
both,Bar 718,Wisla Corp,Wisla Corp,718,5 Ave,Brooklyn,11215,"718 5 Ave , Brooklyn, NY",88,88,yes,yes,yes,no,,40.660431,-73.994392,Sunset Park West
both,Victor Gonzalez,Heylis pizza & restaurant,ERT bar and restaurant,73-18,Northernd Boulevard,Queens,11372,"73-18 Northernd Boulevard, Queens, NY",160,160,yes,yes,yes,no,,,,
both,Washington Commons,Washington Tavern LLC,Washington Commons,434,Park Place,Brooklyn,11238,"434 Park Place, Brooklyn, NY",390,208,yes,yes,yes,no,,40.675675,-73.963916,Prospect Heights
both,MANOR OKTOBERFEST FOREST HILLS,"MANOR OKTOBERFEST FOREST HILLS, INC.",MANOR OKTOBERFEST FOREST HILLS,7311,Yellowstone Blvd,Queens,11375,"7311 Yellowstone Blvd, Queens, NY",150,320,yes,yes,yes,no,,40.717669,-73.857009,Forest Hills
sidewalk,Dos Caminos Soho,475 Soho LLC,Dos Caminos Soho,475 477,West Broadway,Manhattan,10012,"475 477 West Broadway, Manhattan, NY",684,,yes,no,yes,yes,yes,,,
both,WHISKEY TOWN,EAST THIRD RESTAURANT CORP,WHISKEY TOWN,undefined,29 EAST    3 STREET,Manhattan,10003,"29 EAST    3 STREET, Manhattan, NY",135,480,yes,yes,yes,no,,40.725803,-73.990371,East Village
sidewalk,ROBUST BURGER,ROBUST BURGER INC,ROBUST BURGER,undefined,2102 2 AVENUE,Manhattan,10029,"2102 2 AVENUE, Manhattan, NY",70,,yes,no,no,no,,40.792109,-73.941343,East Harlem South
both,Schilling Restaurant,109 Washington Street Restaurant LLC,Schilling Restaurant,109,Washington,Manhattan,10006,"109 Washington, Manhattan, NY",160,160,yes,yes,yes,no,,,,
both,TAMPOPO RAMEN,TAMPOPO LLC,TAMPOPO RAMEN,15-Jan,BENNETT AVE,Manhattan,10033,"1-15  BENNETT AVE, Manhattan, NY",105,120,yes,yes,yes,no,,40.850583,-73.936582,Washington Heights North
sidewalk,Numero 28,MCRB,Numero 28,10712,70 th road,Queens,11375,"10712 70 th road , Queens, NY",120,,yes,no,yes,no,,,,
both,Gemma,"Bowery F&B, LLC",Gemma,335,Bowery,Manhattan,10003,"335 Bowery, Manhattan, NY",3500,1680,yes,yes,yes,no,,40.726047,-73.991908,East Village
sidewalk,CALEDONIA,Dundee LLC,CALEDONIA,undefined,1609 2 AVENUE,Manhattan,10028,"1609 2 AVENUE, Manhattan, NY",96,,yes,no,yes,no,,40.776247,-73.952947,Yorkville
sidewalk,Tabare Bushwick,Rabid Inc.,Rabid Inc.,1006,Flushing Avenue,Brooklyn,11237,"1006 Flushing Avenue, Brooklyn, NY",75,,yes,no,yes,no,,40.703835,-73.930972,Bushwick North
both,HEALTHY VIBE,HEALTHY VIBE INC,HEALTHY VIBE,undefined,860 NOSTRAND AVENUE,Brooklyn,11225,"860 NOSTRAND AVENUE, Brooklyn, NY",128,128,yes,yes,no,no,,40.668591,-73.950633,Crown Heights South
openstreets,Piccola cucina osteria,R&G spring LLC,5-Jun,196,spring street,Manhattan,10012,"196  spring street, Manhattan, NY",,,no,no,yes,no,,40.72513,-74.003153,SoHo-TriBeCa-Civic Center-Little Italy
both,Viand Cafe,KDK LLC,Viand Cafe,2130,Broadway,Manhattan,10023,"2130  Broadway, Manhattan, NY",300,320,yes,yes,yes,no,,40.780737,-73.981379,Upper West Side
sidewalk,Gramar restaurant inc,Gramar restaurant inc,On the rox,105-03,Liberty avenue,Queens,11417,"105-03  Liberty avenue , Queens, NY",168,,yes,no,yes,no,,40.682511,-73.836,South Ozone Park
both,Harlem Public,"South Lake Hospitality Group, Inc",Harlem Public,3612,Broadway,Manhattan,10031,"3612 Broadway, Manhattan, NY",297,351,yes,yes,yes,no,,40.82873,-73.948758,Hamilton Heights
both,Turkish Kitchen,Bolu Inc,Bolu Inc,386,3rd Avenue,Manhattan,10016,"386 3rd Avenue, Manhattan, NY",175,200,yes,yes,yes,no,,40.741737,-73.981043,Gramercy
both,El cocotero inc,El cocotero inc,El cocotero inc,Front 1,228 w 18th,Manhattan,10011,"Front 1 228 w 18th , Manhattan, NY",525,200,yes,yes,no,yes,yes,,,
roadway,Ollies To Go,Ollies 44 LLC,Ollies 44 LLC,307,Esast 77th St,Manhattan,10075,"307 Esast 77th St, Manhattan, NY",,400,no,yes,yes,no,,,,
both,El cocotero inc,El cocotero inc,El cocotero inc,Front 1,228w 18th st,Manhattan,10011,"Front 1 228w 18th st , Manhattan, NY",525,200,yes,yes,no,yes,yes,,,
both,Han Dynasty,Han Dynasty NYU Corp,Han Dynasty,90,Third Ave,Manhattan,10003,"90 Third Ave, Manhattan, NY",91,208,yes,yes,yes,no,,40.732121,-73.988053,East Village
both,Panchitas Place,Panchitas Place Inc,Panchitas Place Inc,709,5th Ave,Brooklyn,11215,"709  5th Ave, Brooklyn, NY",336,128,yes,yes,yes,no,,40.6607,-73.994082,Sunset Park West
sidewalk,MOMOFUKU NOODLE BAR,MOMOFUKU 171 FIRST AVENUE LLC,MOMOFUKU NOODLE BAR,undefined,171 1 AVENUE,Manhattan,10003,"171 1 AVENUE, Manhattan, NY",252,,yes,no,yes,no,,40.729104,-73.984204,East Village
sidewalk,Temkin's,120 Seconds LLC,Temkin's,155,Greenpoint Ave,Brooklyn,11222,"155 Greenpoint Ave, Brooklyn, NY",204,,yes,no,yes,no,,40.730268,-73.953586,Greenpoint
both,YN,YN WINEBAR LLC,YN WINEBAR LLC,227,MOTT STREET,Manhattan,10012,"227  MOTT STREET , Manhattan, NY",120,30,yes,yes,yes,no,,40.722419,-73.995162,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,sompongthai,sompongthai,sompongthai,37- 09,83 rd street,Queens,11372,"37- 09  83 rd street, Queens, NY",120,,yes,no,yes,yes,yes,,,
both,Guadalupe Inn,"Knickerbocker uno, LLC",Guadalupe Inn,1,Knickerbocker Avenue,Brooklyn,11237,"1 Knickerbocker Avenue, Brooklyn, NY",348,232,yes,yes,yes,no,,40.707695,-73.931974,Bushwick North
both,EXITO BAR &amp; LOUNGE,EXITO BAR &amp; LOUNGE CORP,EXITO BAR &amp; LOUNGE,undefined,960 EAST  165 STREET,Bronx,10459,"960 EAST  165 STREET, Bronx, NY",1156,544,yes,yes,yes,no,,40.823937,-73.894723,Longwood
both,THINK COFFEE,"THINK COFFEE, LLC",Think coffee,undefined,248 MERCER STREET,Manhattan,10012,"248 MERCER STREET, Manhattan, NY",125,200,yes,yes,no,yes,yes,40.728353,-73.99544,West Village
both,Nelore Grill,ERITON DE SOUSA,Nelore Grill,undefined,744 9 AVENUE,Manhattan,10019,"744 9 AVENUE, Manhattan, NY",120,160,yes,yes,no,no,,40.763625,-73.988835,Clinton
sidewalk,Sushiva,Great tasting 615 inc,Sushiva,615,9 ave,Manhattan,10036,"615 9 ave, Manhattan, NY",28,,yes,no,yes,no,,40.759475,-73.991882,Clinton
both,Sister Jane,EST Restaurant Corp,Sister Jane,349,East 13th,Manhattan,10003,"349 East 13th, Manhattan, NY",300,200,yes,yes,yes,no,,,,
both,Route 66 Smokehouse,RET VENTURE LTD,ROUTE 66 AMERICAN BBQ,46,STONE STREET,Manhattan,10004,"46 STONE STREET, Manhattan, NY",300,630,yes,yes,yes,yes,yes,40.704336,-74.010312,Battery Park City-Lower Manhattan
both,Marumi Corporation,Marumi Corporation,Marumi Corporation,546,La Guardia Place,Manhattan,10012,"546 La Guardia Place, Manhattan, NY",99,72,yes,yes,yes,yes,yes,40.728773,-73.998362,West Village
sidewalk,grey cafe,Sunshine Java Inc,Grey Cafe,195-19,Northern Boulevard,Queens,11358,"195-19  Northern Boulevard, Queens, NY",975,,yes,no,yes,no,,40.75796,-73.786413,Auburndale
both,The Bao,EIGHT ORANGES INC,The Bao,15,Saint Marks Place,Manhattan,10003,"15 Saint Marks Place, Manhattan, NY",0,400,yes,yes,yes,no,,40.729156,-73.988956,East Village
sidewalk,Fat Buddha,Lo-Eng inc,Fat Buddha,212,Avenue A,Manhattan,10009,"212 Avenue A, Manhattan, NY",245,,yes,no,yes,no,,40.729866,-73.98074,East Village
both,Trattoria Tra Di Noi,Tra Di Noi Corp.,Tra Di Noi Corp.,622,East 187th Street,Bronx,10458,"622 East 187th Street, Bronx, NY",260,160,yes,yes,yes,no,,40.855128,-73.886743,Belmont
roadway,clockwork,otfoteoc ltd inc,clockwork,21,essex street,Manhattan,10002,"21 essex street, Manhattan, NY",,48,no,yes,yes,no,,40.71532,-73.989885,Chinatown
both,Kitchen 79,Kitchen 79 Inc.,Kitchen 79 Inc.,37-70,79th street,Queens,11372,"37-70 79th street, Queens, NY",525,525,yes,yes,yes,no,,40.749086,-73.887042,Jackson Heights
both,MIRROR tea house,"MIRROR IN THE WOODS, LLC",MIRROR tea house,575,Union Street,Brooklyn,11215,"575 Union Street, Brooklyn, NY",60,96,yes,yes,yes,no,,40.678702,-73.986329,Park Slope-Gowanus
both,CARNEGIE PIZZA,S AND J PIZZA GROUP INC,CARNEGIE PIZZA,undefined,200 WEST   41 STREET,Manhattan,10036,"200 WEST   41 STREET, Manhattan, NY",72,192,yes,yes,no,no,,40.755547,-73.987876,Midtown-Midtown South
sidewalk,Dinosaur Barbque,Dinosaur Restaurants LLC,Dinosaur Restaurants LLC,2276,12th ave,Manhattan,10027,"2276 12th ave, Manhattan, NY",2635,,yes,no,yes,no,,40.817797,-73.960851,Manhattanville
both,THE BOIL,"SAIGON PROJECT, INC.",THE BOIL,undefined,17 WAVERLY PLACE,Manhattan,10003,"17 WAVERLY PLACE, Manhattan, NY",656,656,yes,yes,yes,no,,40.73017,-73.994436,West Village
sidewalk,Fausto Restaurant,Pasta People LLC,Fausto,348,Flatbush Ave,Brooklyn,11238,"348 Flatbush Ave, Brooklyn, NY",150,,yes,no,yes,no,,40.676103,-73.971689,Park Slope-Gowanus
sidewalk,USHIWAKAMARU,USHIWAKAMARU CORP.,USHIWAKAMARU,362,WEST 23RD STREET,Manhattan,10011,"362 WEST 23RD STREET, Manhattan, NY",104,,yes,no,yes,no,,40.745999,-74.000177,Hudson Yards-Chelsea-Flatiron-Union Square
openstreets,MIRIAM RESTAURANT,SAMI AND SUSU FOOD INC,MIRIAM RESTAURANT,79,5TH AVENUE,Brooklyn,11217,"79 5TH AVENUE, Brooklyn, NY",,,no,no,yes,no,,40.68026,-73.977841,Park Slope-Gowanus
sidewalk,Pio Pio Restaurant Inc,Pio Pio Restaurant Inc,Pio Pio Restaurant,8402,Northern Blvd,Queens,11372,"8402 Northern Blvd, Queens, NY",5100,,yes,no,yes,no,,40.755763,-73.883353,Jackson Heights
both,EL TIMBIRICHI RESTAURANT CORP.,EL TIMBIRICHI RESTAURANT CORP,EL TIMBIRICHI RESTAURANT CORP,168,EAST 174TH STREET,Bronx,10457,"168 EAST 174TH STREET, Bronx, NY",130,60,yes,yes,yes,no,,40.844812,-73.909104,Mount Hope
sidewalk,Three Guys Restaurant,AZK Restaurant Inc,Three Guys Restaurant,49,E 96th,Manhattan,10029,"49 E 96th , Manhattan, NY",560,,yes,no,yes,no,,,,
both,SUSHI YASUDA,SUSHI YASUDA LTD,SUSHI YASUDA LTD,204 EAST,43RD STREET,Manhattan,10017,"204 EAST 43RD STREET, Manhattan, NY",273,464,yes,yes,yes,no,,40.751266,-73.973562,Turtle Bay-East Midtown
sidewalk,lechonera pollo sabroso,1089 lechonera corp.,lechonera pollo sabroso,1089,southern boulevard,Bronx,10459,"1089  southern boulevard, Bronx, NY",600,,yes,no,yes,no,,40.825831,-73.891931,Hunts Point
both,bricolage vietnamese gastropub,choucroute LLC,choucroute LLC,162,5th avenue,Brooklyn,11217,"162 5th avenue, Brooklyn, NY",200,200,yes,yes,yes,no,,40.677877,-73.979479,Park Slope-Gowanus
both,FYAHBUN CREATIVE LLC,FYAHBUN CREATIVE LLC,FYAHBUN CREATIVE LLC,325,48TH STREET,Manhattan,10017,"325 48TH STREET, Manhattan, NY",338,208,yes,yes,no,no,,,,
both,Portici Restaurant Inc.,Portici Restaurant Inc.,Mama Mia 44SW,621,9 Avenue,Manhattan,10036,"621 9 Avenue, Manhattan, NY",126,144,yes,yes,yes,no,,40.75964,-73.991763,Clinton
both,Connolly's,121W 45th St Restaurant Corp,Connolly's Pub & Restaurant,121W,45th st,Manhattan,10036,"121W 45th st, Manhattan, NY",588,336,yes,yes,yes,no,,,,
roadway,CITY BEER,East 39 rest. inc.,CITY BEER,200,EAST39TH STREET,Manhattan,10016,"200 EAST39TH STREET , Manhattan, NY",,296,no,yes,yes,no,,40.748821,-73.975714,Murray Hill-Kips Bay
both,Santa Fe Grill & Bar,Santa Fe Grill & Bar,Santa Fe Grill & Bar,6025,Broadway,Bronx,10471,"6025  Broadway, Bronx, NY",120,192,yes,yes,yes,no,,40.891445,-73.897398,North Riverdale-Fieldston-Riverdale
both,BAY RIDGE CAFE,BAY RIDGE CAFE OF 4TH AVE INC,BAY RIDGE CAFE,undefined,6802 4 AVENUE,Brooklyn,11220,"6802 4 AVENUE, Brooklyn, NY",700,700,yes,yes,no,no,,40.635207,-74.023293,Bay Ridge
roadway,NEFISTA,NEFIS KOFTEH LLC,NEFISTA,undefined,3371 SHORE PARKWAY,Brooklyn,11235,"3371 SHORE PARKWAY, Brooklyn, NY",,224,no,yes,no,no,,40.584922,-73.951033,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
sidewalk,TACO PUEBLA,FRANCISCO H CASTELAN,TACO PUEBLA,2181,GRAND CONCOURSE,Bronx,10453,"2181  GRAND CONCOURSE , Bronx, NY",385,,yes,no,yes,no,,40.855337,-73.901289,Fordham South
sidewalk,Kogane Ramen,76HENRY ST INC,Kogane Ramen,76,Henry St,Brooklyn,11201,"76 Henry St, Brooklyn, NY",100,,yes,no,yes,yes,yes,40.698553,-73.992499,Brooklyn Heights-Cobble Hill
sidewalk,Mvr restaurant & bar corp,Las Margaritas Bar & restaurant,Las Margaritas Bar & restaurant,7206,3rd Ave,Brooklyn,11209,"7206  3rd Ave, Brooklyn, NY",160,,yes,no,yes,no,,40.633386,-74.027014,Bay Ridge
sidewalk,Villa Brasil Cafe Corp,Villa Brasil Cafe Corp,BTB SERVICES CORP.,43-16,34th Avenuue,Queens,11101,"43-16 34th Avenuue, Queens, NY",270,,yes,no,yes,no,,,,
openstreets,Thai Market Inc.,Thai Market Inc.,Thai Market Inc.,960,Amsterdam Avenue,Manhattan,10025,"960 Amsterdam Avenue, Manhattan, NY",,,no,no,yes,no,,40.801209,-73.965156,Morningside Heights
both,Dyckman Express Restaurant,restaurant 101 inc.,Dyckman Express Restaurant,101,Dyckman,Manhattan,10040,"101 Dyckman, Manhattan, NY",1000,320,yes,yes,yes,no,,,,
both,Lucky,"Oops of New York, Inc.",Lucky,168,Avenue B,Manhattan,10009,"168 Avenue B, Manhattan, NY",24,72,yes,yes,yes,no,,40.727226,-73.979659,East Village
both,Ratan & sona inc,Delhi heights,Delhi heights,37 66,74st,Queens,11372,"37 66 74st, Queens, NY",304,304,yes,yes,yes,yes,yes,40.747177,-73.891506,Jackson Heights
both,Verde on Smith,Mimosa Cafe Lounge Inc,Verde Cafe Lounge,216,Smith,Brooklyn,11201,"216 Smith, Brooklyn, NY",120,160,yes,yes,yes,no,,,,
both,Fire Lounge DD,Fire Lounge DD INC,Fire Lounge DD INC,593,Third Ave,Brooklyn,11215,"593  Third Ave, Brooklyn, NY",80,160,yes,yes,yes,yes,yes,40.667117,-73.994636,Park Slope-Gowanus
both,House of Thai,TJH MAHASARN LLC,House of Thai,2501,40th Ave,Queens,11101,"2501 40th Ave, Queens, NY",147,96,yes,yes,yes,no,,40.753434,-73.937818,Queensbridge-Ravenswood-Long Island City
roadway,CAFE MAX,KBG CATERING CORP,CAFE MAX,undefined,1003 BRIGHTON BEACH AVENUE,Brooklyn,11235,"1003 BRIGHTON BEACH AVENUE, Brooklyn, NY",,272,no,yes,no,no,,40.57803,-73.959502,Brighton Beach
both,WHITE MAIZE,VALDEYAN CORP,VALDEYAN CORP,277,SMITH STREET,Brooklyn,11231,"277 SMITH STREET, Brooklyn, NY",128,128,yes,yes,yes,no,,40.682515,-73.993308,Carroll Gardens-Columbia Street-Red Hook
